Origin City,Destination City,Routing,Segment Count,Distance,CO2 Emission,Air Expense,Road Distance,Origin Country,Destination Country,Travel Type,Train_CO2 Emission,Regular Taxi CO2 Emission,Black Cab CO2 Emission,Coach Bus CO2 Emission,Projected_Transport,Projected_CO2,CO2_Savings,CO2_Savings_Percent
London,Belfast,London - Belfast,2,1007.69,246.18,278.08,760.791,United Kingdom,United Kingdom,International rail,3.3923670690000005,113.064954465,155.22038377500002,20.679060171000003,Train,3.3923670690000005,242.78763293100002,98.62199729100658
London,Belfast,London - Belfast,2,1051.68,256.93,325.18,760.791,United Kingdom,United Kingdom,International rail,3.3923670690000005,113.064954465,155.22038377500002,20.679060171000003,Train,3.3923670690000005,253.53763293100002,98.67965318608182
London,Belfast,London - Belfast,2,1007.69,246.18,468.57,760.791,United Kingdom,United Kingdom,International rail,3.3923670690000005,113.064954465,155.22038377500002,20.679060171000003,Train,3.3923670690000005,242.78763293100002,98.62199729100658
Belfast,London,Belfast - London,2,1059.68,258.88,202.98,743.467,United Kingdom,United Kingdom,International rail,3.315119353,110.49034820499999,151.685854675,20.208176527,Train,3.315119353,255.564880647,98.71943782717861
Manchester,Paris,Manchester - Paris,2,1182.04,288.77,212.54,800.561,United Kingdom,France,International rail,3.5697014990000002,118.975373015,163.334458025,21.760048541,Train,3.5697014990000002,285.20029850099996,98.76382536309173
Manchester,Paris,Manchester - Paris,2,1182.04,288.77,111.08,800.561,United Kingdom,France,International rail,3.5697014990000002,118.975373015,163.334458025,21.760048541,Train,3.5697014990000002,285.20029850099996,98.76382536309173
Belfast,London,Belfast - London,2,1051.68,256.93,282.18,743.467,United Kingdom,United Kingdom,International rail,3.315119353,110.49034820499999,151.685854675,20.208176527,Train,3.315119353,253.614880647,98.70971885221655
Manchester,Paris,Manchester - Paris,2,1182.04,288.77,214.54,800.561,United Kingdom,France,International rail,3.5697014990000002,118.975373015,163.334458025,21.760048541,Train,3.5697014990000002,285.20029850099996,98.76382536309173
London,Belfast,London - Belfast,2,1051.68,256.93,205.18,760.791,United Kingdom,United Kingdom,International rail,3.3923670690000005,113.064954465,155.22038377500002,20.679060171000003,Train,3.3923670690000005,253.53763293100002,98.67965318608182
Manchester,Paris,Manchester - Paris,2,1182.04,288.77,231.74,800.561,United Kingdom,France,International rail,3.5697014990000002,118.975373015,163.334458025,21.760048541,Train,3.5697014990000002,285.20029850099996,98.76382536309173
